id ,name
1,XXXS以下
2,XS(SS)
3,S
4,M
5,L
6,XL(LL)
7,2XL(3L)
8,3XL(4L)
9,4XL(5L)以上
10,FREE SIZE
11,60cm
12,70cm
13,80cm
14,90cm
15,95cm
16,23.5cm以下
17,24cm
18,24.5cm
19,25cm
20,25.5cm
21,26cm
22,26.5cm
23,27cm
24,27.5cm
25,28cm
26,28.5cm
27,29cm
28,29.5cm
29,30cm
30,30.5cm
31,31cm以上
